instance,type,paper_fbeta,paper_di
MSTSP1,Simple,1.00,
MSTSP2,Simple,1.00,
MSTSP3,Simple,1.00,
MSTSP4,Simple,1.00,
MSTSP5,Simple,1.00,
MSTSP6,Simple,1.00,
MSTSP7,Geometry,1.00,
MSTSP8,Geometry,1.00,
MSTSP9,Geometry,1.00,
MSTSP10,Geometry,1.00,
MSTSP11,Geometry,1.00,
MSTSP12,Geometry,1.00,
MSTSP13,Composite,1.00,
MSTSP14,Composite,1.00,
MSTSP15,Composite,1.00,
MSTSP16,Composite,1.00,
MSTSP17,Composite,1.00,
MSTSP18,Composite,0.98,
MSTSP19,Composite,0.99,
MSTSP20,Composite,0.91,
MSTSP21,Composite,0.98,
MSTSP22,Composite,0.28,
MSTSP23,Composite,0.75,
MSTSP24,Composite,0.57,
MSTSP25,Composite,0.48,
