instance,type,city_count,run,seed,route,route_cost,number_of_solutions,Fbeta,DI,elapsed_seconds,MaxFes,NP,antNum,alpha,beta,rho,exit_code,output_file,stdout_file,stderr_file
MSTSP1,Simple,9,1,7,"[3,5,6,7,0,1,4,2,8]",680.0,3,1.0,1.0,5.097053599998617,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP1\run_001\program_output\simple1_9_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP1\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP1\run_001\stderr.txt
MSTSP2,Simple,10,1,2,"[2,3,1,5,9,7,8,6,4,0]",1265.0,4,1.0,1.0,7.707351200006087,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP2\run_001\program_output\simple2_10_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP2\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP2\run_001\stderr.txt
MSTSP3,Simple,10,1,3,"[9,0,8,3,6,2,5,4,7,1]",832.0,13,1.0,1.0,7.353700699997717,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP3\run_001\program_output\simple3_10_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP3\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP3\run_001\stderr.txt
MSTSP4,Simple,11,1,4,"[4,7,2,1,0,6,8,10,5,3,9]",803.0,4,1.0,1.0,7.8326557999971556,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP4\run_001\program_output\simple4_11_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP4\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP4\run_001\stderr.txt
MSTSP5,Simple,12,1,5,"[6,11,1,7,4,10,5,2,0,8,3,9]",754.0,2,1.0,1.0,8.91461210000125,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP5\run_001\program_output\simple5_12_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP5\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP5\run_001\stderr.txt
MSTSP6,Simple,12,1,6,"[10,5,1,7,0,11,3,8,9,6,2,4]",845.0,4,1.0,1.0,11.513178799999878,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP6\run_001\program_output\simple6_12_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP6\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP6\run_001\stderr.txt
MSTSP7,Geometry,10,1,7,"[5,6,3,4,0,7,8,1,2,9]",130.0,52,0.9825581395348838,0.9857142857142858,18.69413770000392,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP7\run_001\program_output\geometry1_10_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP7\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP7\run_001\stderr.txt
MSTSP8,Geometry,12,1,8,"[3,4,5,0,1,2,8,7,6,11,10,9]",1344.0,110,1.0,1.0,172.447256200001,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP8\run_001\program_output\geometry2_12_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP8\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP8\run_001\stderr.txt
MSTSP9,Geometry,10,1,9,"[3,2,7,6,1,0,9,5,4,8]",72.0,4,1.0,1.0,7.725087899998471,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP9\run_001\program_output\geometry3_10_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP9\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP9\run_001\stderr.txt
MSTSP10,Geometry,10,1,10,"[9,5,4,8,3,2,7,6,1,0]",72.0,4,1.0,1.0,9.710448899997573,60000,,150,1.0,1.5,0.3,0,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP10\run_001\program_output\geometry4_10_RUN_0.alg_solution,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP10\run_001\stdout.txt,D:\Project\球粒计算\GB-MACO_python\reproduction\results\raw\MSTSP10\run_001\stderr.txt
