instance,type,city_count,runs,Fbeta_mean,Fbeta_std,Fbeta_best,Fbeta_worst,DI_mean,DI_std,DI_best,DI_worst,route_cost_mean,route_cost_best,elapsed_mean
MSTSP1,Simple,9,1,1.0,,1.0,1.0,1.0,,1.0,1.0,680.0,680.0,5.097053599998617
MSTSP2,Simple,10,1,1.0,,1.0,1.0,1.0,,1.0,1.0,1265.0,1265.0,7.707351200006087
MSTSP3,Simple,10,1,1.0,,1.0,1.0,1.0,,1.0,1.0,832.0,832.0,7.353700699997717
MSTSP4,Simple,11,1,1.0,,1.0,1.0,1.0,,1.0,1.0,803.0,803.0,7.8326557999971556
MSTSP5,Simple,12,1,1.0,,1.0,1.0,1.0,,1.0,1.0,754.0,754.0,8.91461210000125
MSTSP6,Simple,12,1,1.0,,1.0,1.0,1.0,,1.0,1.0,845.0,845.0,11.513178799999878
MSTSP7,Geometry,10,1,0.9825581395348838,,0.9825581395348838,0.9825581395348838,0.9857142857142858,,0.9857142857142858,0.9857142857142858,130.0,130.0,18.69413770000392
MSTSP8,Geometry,12,1,1.0,,1.0,1.0,1.0,,1.0,1.0,1344.0,1344.0,172.447256200001
MSTSP9,Geometry,10,1,1.0,,1.0,1.0,1.0,,1.0,1.0,72.0,72.0,7.725087899998471
MSTSP10,Geometry,10,1,1.0,,1.0,1.0,1.0,,1.0,1.0,72.0,72.0,9.710448899997573
MSTSP11,Geometry,10,1,1.0,,1.0,1.0,1.0,,1.0,1.0,78.0,78.0,10.23735690000467
MSTSP12,Geometry,15,1,1.0,,1.0,1.0,1.0,,1.0,1.0,130.0,130.0,270.5135661000022
MSTSP13,Composite,28,1,0.9966666666666667,,0.9966666666666667,0.9966666666666667,0.9989795918367347,,0.9989795918367347,0.9989795918367347,3055.0,3055.0,1414.1489472999965
